Name,Affinity[ÂµM],MW,logP,nrotb,HBA,HBD,PSA,n_atoms,Smiles
9905296,0.0016,324.298,3.2207,3,3,1,45.33,23,O=c1cc(c2c([nH]1)cc1c(c2)N(CCO1)CC1CC1)C(F)(F)F
D05,15.7084267574278,284.393,5.0882,6,2,1,29.46,21,CC[C@@H]([C@H](c1ccc(cc1)O)CC)c1ccc(cc1)OC
H09,22.0199162408511,354.486,6.4955,3,0,0,0,19,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl
23648052,0.243,394.355,5.3518,7,2,1,36.1,27,O=c1[nH]c2ccc(cc2c(c1)C(F)(F)F)N(CC(F)(F)F)CCC(C)(C)C
52944606,1.1,456.614,5.1355,12,5,2,75.99,33,OC[C@H](COc1ccc(cc1C)C(c1ccc(c(c1)C)OCC(=O)C(C)(C)C)(CC)CC)O
49862937,0.0035,491.85,3.32388,3,8,0,99.42,34,N#Cc1ccc(cc1C(F)(F)F)N1C(=O)[C@@H]2[C@H](C1=O)[C@@]1(O[C@@]2(C)CN(C1)c1ncnc(c1)Cl)C
9841413,0.023,352.351,3.9993,4,3,1,45.33,25,CC[C@H]1COc2c(N1CC1CC1)cc1c(c2)[nH]c(=O)cc1C(F)(F)F
44276823,0.263,324.341,3.9558,2,2,0,25.24,23,CC[C@H]1CCN(c2c1cc1c(c2)n(C)c(=O)cc1C(F)(F)F)C
122640053,0.156,371.793,3.76818,5,4,2,78.05,26,N#Cc1ccc(cc1Cl)NC(=O)[C@](Cn1ccc2c1cc(F)cc2)(O)C
10832792,2.33,367.483,6.8892,1,2,1,21.26,28,Cc1ccc(cc1)[C@H]1Oc2ccccc2-c2c1c1C(=CC(Nc1cc2)(C)C)C
86697032,0.0433,480.435,3.48578,6,8,2,128.76,33,CNC(=O)c1ccc(cc1F)N1C(=S)N(C(=O)[C@]1(C)CO)c1ccc(c(c1)C(F)(F)F)C#N
D03,97.3241761709975,212.244,3.2682,2,2,2,40.46,16,Oc1ccc(cc1)/C=C/c1ccc(cc1)O
A10,1.75156715628963,290.44,3.671,0,2,2,40.46,21,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2O)C)C1)C
44448819,0.018,391.268,3.65528,4,4,1,69.12,27,N#CC[C@@H]1COc2c(N1CC(F)(F)F)cc1c(c2)[nH]c(=O)cc1C(F)(F)F
122640071,0.332,371.793,3.76818,5,4,2,78.05,26,N#Cc1ccc(cc1Cl)NC(=O)[C@](Cn1cc(c2c1cccc2)F)(O)C
10552375,0.00165,471.88,4.38218,10,7,3,127.52,31,ClCC(=O)Nc1ccc(cc1)SC[C@@](C(=O)Nc1ccc(c(c1)C(F)(F)F)C#N)(O)C
25016978,1.3,309.316,2.8954,1,4,2,71.55,23,COc1cccc2c1-c1ccc3c(c1[C@H](O2)O)c(C)cc(=O)[nH]3
44404372,2.9,467.683,7.0494,12,4,2,58.56,34,CCC(c1ccc(c(c1)C)OCC(=O)C(C)(C)C)(c1ccc(c(c1)C)NCCC(O)(C)C)CC
44263937,0.007,282.261,3.4315,1,2,2,44.89,20,C[C@@H]1CCc2c(N1)cc1c(c2)c(cc(=O)[nH]1)C(F)(F)F
20587865,0.043,310.314,3.9891,2,2,1,36.1,22,C[C@@H]1CC[C@H](N1c1ccc2c(c1)c(cc(=O)[nH]2)C(F)(F)F)C
9967148,0.0015,327.292,2.1759,2,6,1,106.67,24,O[C@@H]1CCN2[C@@H]1C(=O)N(C2=O)c1ccc(c2c1cccc2)[N+](=O)[O-]
44341871,2.046,333.467,6.7227,3,2,1,21.26,25,CCCC[C@@H]1Oc2ccccc2-c2c1c1C(=CC(Nc1cc2)(C)C)C
44396296,0.0089,443.577,4.9331,3,4,1,57.61,33,C#C[C@]1(O)CC[C@@H]2[C@]1(C)C[C@H](c1ccc(cc1)N(C(=O)C)C)C1=C3CCC(=O)C=C3CC[C@@H]21
10809583,2.318,377.315,6.1152,4,2,1,29.46,23,COc1cc(/C=C/C[C@H]2C(=C)C=C(CC2(C)C)C)c(cc1Br)O
H16,148.448033983913,182.218,2.9176,2,1,0,17.07,14,O=C(c1ccccc1)c1ccccc1
A14,0.335851323199985,394.546,5.8238,3,3,0,43.37,29,O=C1CC[C@]2([C@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2OC(=O)c1ccccc1)C)C
44454110,0.004,331.754,2.11868,1,6,0,83.29,23,N#Cc1ncc(cc1Cl)N1C(=O)[C@@H]2[C@H](C1=O)[C@@]1(O[C@@]2(C)CC1)C
44276587,0.63,310.314,3.9454,2,2,1,36.1,22,CC[C@H]1CCN(c2c1cc1c(c2)[nH]c(=O)cc1C(F)(F)F)C
46906176,0.037,382.453,5.8334,8,4,1,84.15,28,COc1ccc(cc1)C(=O)C[C@H](C1CCCCC1)Nc1ccc(cc1)[N+](=O)[O-]
9861044,0.0012,298.26,2.8306,2,3,1,45.33,21,CCN1CCOc2c1cc1c(c2)[nH]c(=O)cc1C(F)(F)F
20587845,0.019,310.314,3.9891,2,2,1,36.1,22,C[C@@H]1CC[C@@H](N1c1ccc2c(c1)c(cc(=O)[nH]2)C(F)(F)F)C
2375,0.065,430.373,4.03338,7,6,2,115.64,29,N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@@](CS(=O)(=O)c1ccc(cc1)F)(O)C
49862838,0.039,449.423,2.73138,4,7,0,90.71,32,N#Cc1ccc(cc1C(F)(F)F)N1C(=O)[C@@H]2[C@H](C1=O)[C@@]1(O[C@@]2(C)CN(C1)C(=O)C(C)C)C
44568328,6.1,311.421,3.5837,4,3,0,28.48,23,Cc1cc(C)cc(c1)N(c1cn(c(c1)C(=O)N1CCCC1)C)C
122640094,0.315,371.793,3.76818,5,4,2,78.05,26,N#Cc1ccc(cc1Cl)NC(=O)[C@](Cn1ccc2c1cccc2F)(O)C
10758309,0.151,324.341,4.6286,1,2,2,44.89,23,O=c1[nH]c2cc3NC(C)(C)[C@H]([C@@H](c3cc2c(c1)C(F)(F)F)C)C
44454392,0.053,372.213,3.3341,1,4,0,46.61,23,O=C1[C@@H]2[C@H]3CC[C@@H]([C@@H]2C(=O)N1c1ccc(c2c1cccc2)Br)O3
11794088,1.497,379.288,5.084,5,3,0,35.53,23,COc1cc(C[C@H]2[C@H](C)CC(=CC2=C)C)c(cc1Br)OC(=O)C
25017761,0.062,351.353,3.5034,3,4,1,81.53,26,CCOc1ccc2c(c1OC)c1ccc3c(c1c(=O)o2)c(C)cc(=O)[nH]3
H04,24.7830471203343,295.161,4.5953,3,2,1,29.46,19,COc1ccc(cc1)C(=C(Cl)Cl)c1ccc(cc1)O
44448756,0.0066,402.239,4.0067,4,3,1,45.33,27,FC([C@@H]1COc2c(N1CC(F)(F)F)cc1c(c2)[nH]c(=O)cc1C(F)(F)F)F
C01,1.92529828988565,298.419,3.6366,0,2,1,37.3,22,C#C[C@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=C1CCC(=O)C2
44568354,0.69,403.517,4.8597,6,4,1,48.71,30,Cc1cc(C)cc(c1)N(c1cn(c(c1)C(=O)N1CCCC1)C)Cc1ccc(cc1)O
44425750,0.021,308.291,1.01118,1,7,1,97.53,23,N#Cc1ccc(c2c1cccn2)N1C(=O)[C@H]2N(C1=O)CC[C@H]2O
E11,75.5454839649376,208.255,3.5827,3,1,0,17.07,16,O=C(c1ccccc1)/C=C/c1ccccc1
6013,0.029,288.424,3.8792,0,2,1,37.3,21,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C
122640140,0.294,513.252,4.59908,6,4,2,78.05,29,N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@](Cn1ccc2c1ccc(c2)I)(O)C
11503804,0.01,474.365,3.44968,5,8,0,93.95,34,N#Cc1ccc(cc1C(F)(F)F)N1C(=O)[C@@H]2N(C1=O)[C@H]1C[C@@H]2N(C1)C(=O)Oc1ccc(cc1)F
49862909,0.032,537.483,4.15758,4,8,0,116.16,37,N#Cc1ccc(cc1C(F)(F)F)N1C(=O)[C@@H]2[C@H](C1=O)[C@@]1(O[C@@]2(C)CN(C1)S(=O)(=O)c1ccc(cc1)F)C
5287785,0.0003,371.107,3.2942,6,4,2,95.15,21,BrC[C@@](C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-])(O)C
6279,0.0029,386.524,4.6552,3,4,0,60.44,28,O=C1CC[C@]2(C(=C1)[C@@H](C)C[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@]2(OC(=O)C)C(=O)C)C)C
46871871,0.0242,378.396,6.0647,7,3,1,74.92,28,Fc1cccc(c1)[C@@H](CC(=O)c1ccc(cc1)C)Nc1ccc(cc1)[N+](=O)[O-]
11726899,0.69,318.409,4.4112,3,2,0,26.3,24,COc1ccc2c(c1)CCC1=CC(=O)CC[C@@]21Cc1ccccc1
A6a,3.84118037453921,288.424,3.8792,0,2,1,37.3,21,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@H]2O)C)C
11494167,0.78,356.864,6.7715,1,1,2,27.82,25,C[C@@H]1CC(C)(C)Nc2c1c(Cl)c(cc2C)c1ccc(c2c1[nH]cc2)F
9948117,0.026,296.288,3.8216,1,2,2,44.89,21,O=c1cc(c2c([nH]1)cc1c(c2)CCC(N1)(C)C)C(F)(F)F
10199303,0.058,270.25,3.4402,3,2,2,44.89,19,CC(Nc1ccc2c(c1)c(cc(=O)[nH]2)C(F)(F)F)C
44282950,0.621,325.832,6.2058,0,2,1,21.26,23,Clc1ccc2c(-c3ccc4c(c3[C@H](O2)C)C(=CC(N4)(C)C)C)c1
261000,0.00074,284.393,3.7194,0,2,1,37.3,21,O=C1CCC2=C3C=C[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C)O)C
122640131,0.084,463.451,5.66148,7,4,2,78.05,34,N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@](Cn1ccc2c1cccc2c1ccccc1)(O)C
122640074,0.086,481.442,5.80058,7,4,2,78.05,35,N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@](Cn1ccc2c1ccc(c2F)c1ccccc1)(O)C
10614884,0.029,310.314,4.2117,2,2,2,44.89,22,CC[C@@]1(C)CCc2c(N1)cc1c(c2)c(cc(=O)[nH]1)C(F)(F)F
16090313,0.0071,364.286,4.3256,6,2,1,36.1,25,O=c1cc(c2c([nH]1)ccc(c2)N(CC(F)(F)F)CC1CC1)C(F)(F)F
10805958,0.57,325.241,4.6982,3,2,1,29.46,19,COc1cc(C[C@H]2[C@H](C)CCCC2=C)c(cc1Br)O
22279141,0.05,284.277,3.8319,5,2,2,44.89,20,CCCCNc1ccc2c(c1)[nH]c(=O)cc2C(F)(F)F
44568540,0.22,350.371,4.594,6,4,1,97.08,26,[O-][N+](=O)c1ccc(cc1)N(c1cn(c(c1)C(=O)N)C)Cc1ccccc1
69265349,0.028,386.389,3.64828,2,5,1,89.78,26,N#Cc1ccc(cc1C(F)(F)F)N1C[C@@H]2[C@@](S1(=O)=O)(C)[C@H]1C[C@@H]2[C@@H](C1)O
9888362,0.281,420.23,4.3039,4,3,1,45.33,28,O=c1[nH]c2cc3OC[C@H](N(c3cc2c(c1)C(F)(F)F)CC(F)(F)F)C(F)(F)F
9865500,0.0094,396.284,3.388,5,4,1,54.56,27,COC[C@@H]1COc2c(N1CC(F)(F)F)cc1c(c2)[nH]c(=O)cc1C(F)(F)F
49862839,0.036,447.407,2.48538,4,7,0,90.71,32,N#Cc1ccc(cc1C(F)(F)F)N1C(=O)[C@@H]2[C@H](C1=O)[C@@]1(O[C@@]2(C)CN(C1)C(=O)C1CC1)C
10591908,0.081,322.325,4.3027,1,2,1,34.03,23,CC1=CC(C)(C)Nc2c1cc1c(c2)n(C)c(=O)cc1C(F)(F)F
44568499,0.17,337.372,4.2871,6,3,1,74.22,25,OCc1cc(cn1C)N(c1ccc(cc1)[N+](=O)[O-])Cc1ccccc1
25016975,1,295.265,3.2352,0,2,1,63.07,22,Fc1ccc2c(c1)c1ccc3c(c1c(=O)o2)c(C)cc(=O)[nH]3
52949572,1.8,456.614,5.1355,12,5,2,75.99,33,OC[C@@H](COc1ccc(cc1C)C(c1ccc(c(c1)C)OCC(=O)C(C)(C)C)(CC)CC)O
10733732,0.056,310.314,3.832,1,2,1,34.03,22,Cn1c(=O)cc(c2c1cc1NC(C)(C)CCc1c2)C(F)(F)F
44568458,0.049,472.46,5.9875,8,4,0,74.3,34,Cn1cc(cc1C(=O)N1CCCC1)N(c1ccc(c(c1)C(F)(F)F)[N+](=O)[O-])Cc1ccccc1
10854490,0.04,338.367,4.7014,1,2,1,34.03,24,C[C@@H]1CC(C)(C)Nc2c1cc1c(c2C)n(C)c(=O)cc1C(F)(F)F
25017513,0.005,309.316,3.1101,1,4,2,71.55,23,COc1c(O)ccc2c1-c1ccc3c(c1CO2)c(C)cc(=O)[nH]3
44404365,3.38,454.688,6.7013,12,4,4,64.52,33,CCC(c1ccc(c(c1)C)NCCC(O)(C)C)(c1ccc(c(c1)C)NCCC(O)(C)C)CC
K07,526.787659276238,254.475,1.7755,3,2,0,49.36,14,[O-]C(=O)COc1cc(Cl)c(cc1Cl)Cl
24952192,2.341,366.434,4.8242,4,5,2,99.69,26,Oc1ccc2c(c1)Oc1c([C@@H]2C(C(=O)Nc2nccs2)(C)C)cccc1
44454335,0.221,403.6,2.6764,1,4,0,46.61,20,O=C1N(c2ccc(c(c2)Cl)I)C(=O)[C@@H]2[C@H]1[C@H]1CC[C@@H]2O1
17758236,0.346,485.637,8.5785,4,4,2,78.96,35,CC/C=C(/c1ccsc1/C=C/1\Oc2ccc(c(c2-c2c1c1C(=CC(Nc1cc2)(C)C)C)OC)O)\C
44425763,0.0013,289.262,0.91048,1,6,1,84.64,21,N#Cc1ccc(c(c1F)C)N1C(=O)[C@H]2N(C1=O)CC[C@H]2O
16658899,0.206,360.33,4.0109,3,3,1,45.33,26,O=c1cc(c2c([nH]1)cc1c(c2)N(CCO1)Cc1ccccc1)C(F)(F)F
86280440,0.232,509.635,7.2633,9,5,2,82.81,36,COc1cc(F)ccc1c1c(CN(Cc2ccccc2)C)[nH]c2c1cc(cc2NS(=O)(=O)C)C(C)C
16731514,0.0029,305.759,2.28668,1,5,1,67.57,21,Cc1c(ccc(c1Cl)C#N)N1[C@@H](C)[C@H]2N(C1=O)CC[C@H]2O
25145082,0.11,398.815,6.4097,7,3,1,74.92,28,Fc1cccc(c1)[C@H](CC(=O)c1cccc(c1)Cl)Nc1ccc(cc1)[N+](=O)[O-]
9951771,0.844,379.493,7.2979,1,2,1,21.26,29,CC1=CC(C)(C)Nc2c1c1/C(=C/c3ccccc3C)/Oc3c(-c1cc2)cccc3
10615958,0.046,324.341,4.393,1,2,1,34.03,23,C[C@H]1CC(C)(C)Nc2c1cc1c(c2)n(C)c(=O)cc1C(F)(F)F
155519221,0.022,307.314,4.36268,1,3,2,47.85,22,N#C[C@H]1Nc2cc3NC(C)(C)CCc3cc2C(=C1)C(F)(F)F
49851369,0.37,431.346,5.481,6,4,2,90.46,26,Brc1cc(ccc1O)[C@@H](C(C(=O)Nc1nccs1)(C)C)c1ccccc1
24749678,0.849,372.456,5.5483,5,3,2,70.34,26,Fc1ccc(cc1)[C@](c1c[nH]c2c1cccc2NS(=O)(=O)C)(C1CC1)C
44568353,0.35,387.517,5.1541,6,3,0,28.48,29,Cc1cc(C)cc(c1)N(c1cn(c(c1)C(=O)N1CCCC1)C)Cc1ccccc1
44397349,1.03,438.433,3.7408,5,8,0,115.98,32,O=C1[C@H]2N(C(=O)N1c1ccc(c3c1cccc3)[N+](=O)[O-])[C@H]1C[C@@H]2N(C1)C(=O)OC(C)(C)C
46906530,0.063,364.37,5.7563,7,3,1,74.92,27,Fc1cccc(c1)[C@H](CC(=O)c1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
89553307,0.0338,492.446,3.89388,5,8,1,117.76,34,CNC(=O)c1ccc(cc1F)N1C(=S)N(C(=O)[C@@]21COCC2)c1ccc(c(c1)C(F)(F)F)C#N
44138106,2.9,360.472,5.0161,3,3,1,70.23,26,O=C([C@@]1(C)C[C@]2(C)c3c([C@H]1c1c2cccc1)cccc3)Nc1nccs1
F03,24.7830471203343,262.43,5.8556,11,1,1,20.23,19,CCCCCCCCCCCCc1ccc(cc1)O
44263921,0.024,310.314,4.2117,3,2,2,44.89,22,CCC[C@@H]1CCc2c(N1)cc1c(c2)c(cc(=O)[nH]1)C(F)(F)F
122640139,0.382,373.809,3.24098,5,5,2,76.36,26,N#Cc1ccc(cc1Cl)NC(=O)[C@](CN1CCc2c1cccc2F)(O)C
23598979,0.001,337.329,3.5936,2,5,0,86.44,25,O=C1N2[C@H]3CC[C@@H]([C@@H]2C(=O)N1c1ccc(c2c1cccc2)[N+](=O)[O-])C3
72710581,0.239,435.535,6.482,5,5,1,73.01,31,CC/C(=C/1\c2ccccc2OCc2c1c(OC)ccc2)/c1cccc(c1)NS(=O)(=O)C
H15,119.187447460084,214.217,2.3288,2,3,2,57.53,16,Oc1ccc(c(c1)O)C(=O)c1ccccc1
69267698,0.003,399.387,3.84318,3,6,1,112.64,27,N#Cc1ccc(cc1C(F)(F)F)N1C[C@@H]2[C@@](S1(=O)=O)(C(=O)N)[C@H]1C[C@@H]2CC1
